id,year,value,unit,source,vintage,indicator
cultural_liberalism_index,1972,0.6367,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1973,0.3787,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1974,0.4000999999999999,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1975,0.5107,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1976,0.4086,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1977,0.32765,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1978,0.3736,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1979,0.398925,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1980,0.42425,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1981,0.422025,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1982,0.4197999999999999,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1983,0.39975,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1984,0.4422,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1985,0.3538,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1986,0.31345,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1987,0.452675,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1988,0.39452,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1989,0.42122,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1990,0.4168199999999999,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1991,0.42528,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1992,0.44448,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1993,0.46368,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1994,0.4689199999999999,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1995,0.4746499999999999,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1996,0.48038,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1997,0.4503525,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1998,0.420325,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,1999,0.4214,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2000,0.4224749999999999,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2001,0.4281624999999999,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2002,0.4338499999999999,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2003,0.39985,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2004,0.36585,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2005,0.3811375,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2006,0.396425,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2007,0.4052624999999999,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2008,0.4140999999999999,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2009,0.4291374999999999,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2010,0.444175,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2011,0.4408625,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2012,0.43755,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2013,0.4526,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2014,0.46765,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2015,0.487475,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2016,0.5073,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2017,0.518,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2018,0.5287,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2019,0.5192777777777777,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2020,0.5098555555555555,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2021,0.5004333333333333,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2022,0.4910666666666667,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2023,0.4728,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
cultural_liberalism_index,2024,0.4545333333333334,index,"GSS (NORC); components: ABANY,HOMOSEX,FEFAM,RACOPEN,RACMAR",2025-08-22,cultural_liberalism_index
